rv,jumps,dts,vix,rets,c,vixann
0.00013253,0.0,['9/10/1990'],0.0003118730489417989,-0.027095970462039827,0.000132525405386215,30.71
0.00032641,0.0,['10/10/1990'],0.0003216984457671958,-0.01555796133480293,0.00032641281488701,31.19
0.00015923,0.0,['11/10/1990'],0.0003818255291005291,-0.016548166494359095,0.00015923185548921,33.98
0.00039837,0.0,['12/10/1990'],0.00033735568783068787,0.015349005763072288,0.000398373441238822,31.94
0.00018495,0.0,['15/10/1990'],0.0003310481481481482,0.010609123808018137,0.000184953240419762,31.64
0.0001043,0.0,['16/10/1990'],0.00032708416005291005,-0.014315614402463123,0.000104303162809031,31.45
4.6294e-05,0.0,['17/10/1990'],0.00032542225529100537,-0.0005354035732234859,4.62944538718546e-05,31.37
0.00016246,0.0,['18/10/1990'],0.00028973544973544984,0.023094492084022186,0.000162463656075824,29.6
0.00024433,0.0,['19/10/1990'],0.0002566731481481482,0.021805399555480772,0.000244330093694271,27.86
8.2023e-05,0.0,['22/10/1990'],0.0002459169642857143,0.007269976538413678,8.20229432855549e-05,27.27
6.6368e-05,0.0,['23/10/1990'],0.00025135744047619053,-0.0076540748723082485,6.63677133003815e-05,27.57
3.3669e-05,0.0,['24/10/1990'],0.0002644703703703703,0.0007680491929019748,3.36692434888687e-05,28.28
6.3503e-05,0.0,['25/10/1990'],0.0002788761904761905,-0.0078038837206647884,6.35025997171304e-05,29.04
7.5251e-05,0.0,['26/10/1990'],0.0003126860119047619,-0.017760029647192106,7.52507556482382e-05,30.75
0.00012016,0.0,['29/10/1990'],0.0003289588624338625,-0.009330917202851766,0.00012016190764058,31.54
0.00013696,0.0,['30/10/1990'],0.0003080259259259259,0.007195462936022295,0.000136957362976362,30.52
4.2837e-05,0.0,['31/10/1990'],0.0002984132275132275,-0.0001973489464682271,4.28374305197669e-05,30.04
5.9855e-05,0.0,['1/11/1990'],0.0003026000330687831,0.009885190638833778,5.98545590665109e-05,30.25
6.4132e-05,0.0,['2/11/1990'],0.00029821458333333334,0.015609410927076323,6.41321125263252e-05,30.03
5.1697e-05,0.0,['5/11/1990'],0.0002946502976190476,0.00874790075142475,5.16968432922233e-05,29.85
5.7028e-05,0.0,['6/11/1990'],0.00028022225529100524,-0.009485706934347913,5.70277018264263e-05,29.11
6.882e-05,0.0,['7/11/1990'],0.00031513125000000005,-0.018166715632236763,6.88199351974587e-05,30.87
0.00012863,0.0,['8/11/1990'],0.0003135000330687831,0.005214965699012465,0.000128629468953307,30.79
8.4442e-05,0.0,['9/11/1990'],0.00024035767195767195,0.01973187057211001,8.44418240826834e-05,26.96
9.0239e-05,0.0,['12/11/1990'],0.00021671957671957673,0.018130056621093883,9.02389596408687e-05,25.6
5.4588e-05,0.0,['13/11/1990'],0.00019979378306878305,-0.005681565938715477,5.45884473089629e-05,24.58
4.3659e-05,0.0,['14/11/1990'],0.00017326458333333334,0.00855710708373134,4.36586395701483e-05,22.89
7.5733e-05,0.0,['15/11/1990'],0.00016845400132275135,-0.010605351824457574,7.5733264706853e-05,22.57
3.7068e-05,0.0,['16/11/1990'],0.00015059378306878307,0.0003153877718767416,3.70677599334058e-05,21.34
7.8426e-05,0.0,['19/11/1990'],0.0001451397156084656,0.006976114769931947,7.84263285974926e-05,20.95
